ingredient,pairings
macadamia nut (word emb.),"['kiwifruit', 'passionfruit', 'papaya', 'guava', 'brazil nut', 'jackfruit', 'green tea', 'pawpaw', 'kumquat', 'starfruit']"
macaroni (weighted),"['ham', 'white bread', 'lamb', 'buttermilk', 'turkey', 'beef', 'kidney beans', 'cheddar cheese', 'cottage cheese', 'pork']"
macaroni (n. moledules),"['turkey', 'kidney beans', 'peas', 'barley', 'oats', 'ham', 'cheddar cheese', 'rice', 'pork', 'cottage cheese']"
macaroni (word emb.),"['potato', 'ham', 'cheddar cheese', 'cauliflower', 'mozzarella cheese', 'swiss cheese', 'zucchini', 'parmesan cheese', 'lima beans', 'artichoke']"
mace (weighted),"['myrtle', 'eucalyptus', 'citrus zest', 'asafoetida', 'sassafras', 'nigella seed', 'citrus', 'caraway', 'fatty fish', 'white pepper']"
mace (n. moledules),"['nutmeg', 'rosemary', 'black pepper', 'laurel', 'cinnamon', 'dill', 'carrot', 'coriander', 'black currant', 'allspice']"
mace (word emb.),"['quince', 'allspice', 'cassia', 'currant', 'black tea', 'brandy', 'clove', 'cardamom', 'red currant', 'persimmon']"
malt (weighted),"['swiss cheese', 'milk', 'cheddar cheese', 'rum', 'blue cheese', 'white wine', 'coffee', 'camembert cheese', 'red wine', 'butter']"
malt (n. moledules),"['beer', 'tea', 'coffee', 'cocoa', 'chocolate', 'soybean', 'peanut butter', 'peanut', 'rice', 'mushroom']"
malt (word emb.),"['rye', 'safflower', 'coffee', 'buckwheat', 'peppermint', 'carob', 'licorice', 'whisky', 'cocoa', 'caraway']"
malt whisky (weighted),"['canadian whisky', 'scotch whisky', 'bourbon whisky', 'whisky', 'japanese whisky', 'plum wine', 'rose wine', 'port wine', 'champagne', 'sherry']"
malt whisky (n. moledules),"['scotch whisky', 'japanese whisky', 'bourbon whisky', 'whisky', 'canadian whisky', 'beer', 'rum', 'white wine', 'sherry', 'red wine']"
malt whisky (word emb.),"['litchi', 'cherimoya', 'satsuma orange', 'plum brandy', 'soursop', 'canadian whisky', 'feijoa', 'japanese whisky', 'valerian', 'plumcot']"
mandarin orange (weighted),"['lemon', 'lime', 'orange', 'black pepper', 'coriander', 'fennel', 'sunflower', 'parsley', 'dill', 'tamarind']"
mandarin orange (n. moledules),"['orange', 'lemon', 'ginger', 'black pepper', 'lime', 'basil', 'rosemary', 'tea', 'oregano', 'laurel']"
mandarin orange (word emb.),"['tangerine', 'kiwifruit', 'grapefruit', 'strawberry', 'melon', 'poppy seed', 'starfruit', 'mango', 'cherry', 'honey']"
mandarin orange zest (weighted),"['jasmine', 'fish oil', 'milk powder', 'licorice', 'hops', 'beef', 'chicken', 'crab', 'pork', 'butter']"
mandarin orange zest (n. moledules),"['grapefruit', 'mandarin orange', 'orange', 'ginger', 'nutmeg', 'tea', 'dill', 'apple', 'cardamom', 'black pepper']"
mandarin orange zest (word emb.),"['canadian whisky', 'malt whisky', 'wild cherry', 'litchi', 'japanese whisky', 'white currant', 'durian', 'satsuma orange', 'cherimoya', 'plumcot']"
mango (weighted),"['tomato', 'apricot', 'grape', 'plum', 'cranberry', 'avocado', 'fig', 'pineapple', 'tamarind', 'pepper']"
mango (n. moledules),"['tea', 'guava', 'tomato', 'apple', 'strawberry', 'grape', 'apricot', 'chocolate', 'cocoa', 'passionfruit']"
mango (word emb.),"['papaya', 'melon', 'lime zest', 'grapefruit', 'lime', 'tamarind', 'guava', 'kiwifruit', 'starfruit', 'tangerine']"
marjoram (weighted),"['sage', 'cumin', 'thyme', 'oregano', 'rosemary', 'turmeric', 'summer savory', 'laurel', 'winter savory', 'tarragon']"
marjoram (n. moledules),"['oregano', 'rosemary', 'laurel', 'ginger', 'black pepper', 'basil', 'spearmint', 'nutmeg', 'dill', 'coriander']"
marjoram (word emb.),"['summer savory', 'rosemary', 'parsnip', 'lamb', 'lentils', 'sage', 'potato', 'turkey', 'olive oil', 'fennel']"
mate (weighted),"['clam', 'butter', 'swiss cheese', 'milk', 'white wine', 'cheddar cheese', 'blue cheese', 'beer', 'kidney beans', 'oyster']"
mate (n. moledules),"['tea', 'beer', 'potato', 'rice', 'mushroom', 'tomato', 'guava', 'butter', 'mango', 'rum']"
mate (word emb.),"['munster cheese', 'soursop', 'malt whisky', 'cherimoya', 'canadian whisky', 'wild cherry', 'blackberry brandy', 'feijoa', 'loquat', 'white currant']"
melon (weighted),"['pear', 'endive', 'olive oil', 'spinach', 'avocado', 'starfruit', 'loquat', 'sweet potato', 'olive', 'radish']"
melon (n. moledules),"['apple', 'guava', 'grape', 'tomato', 'papaya', 'strawberry', 'banana', 'tea', 'mango', 'pineapple']"
melon (word emb.),"['kiwifruit', 'green tea', 'grapefruit', 'tangerine', 'papaya', 'mango', 'prickly pear', 'guava', 'starfruit', 'sparkling wine']"
milk (weighted),"['butter', 'cheese', 'egg', 'cheddar cheese', 'rum', 'blue cheese', 'swiss cheese', 'crab', 'cream cheese', 'parmesan cheese']"
milk (n. moledules),"['beer', 'tea', 'cheddar cheese', 'apple', 'butter', 'blue cheese', 'parmesan cheese', 'gruyere cheese', 'swiss cheese', 'camembert cheese']"
milk (word emb.),"['buttermilk', 'cream cheese', 'skimmed milk', 'cottage cheese', 'fish oil', 'munster cheese', 'milk powder', 'wheaten bread', 'butter', 'bilberry']"
milk fat (weighted),"['oyster', 'buttermilk', 'turkey', 'gin', 'beef', 'chicken', 'pork', 'milk powder', 'rum', 'yogurt']"
milk fat (n. moledules),"['swiss cheese', 'cheddar cheese', 'butter', 'blue cheese', 'rum', 'tea', 'coffee', 'mango', 'beer', 'chicken']"
milk fat (word emb.),"['durian', 'malt whisky', 'valerian', 'sheep milk', 'canadian whisky', 'citronella', 'plumcot', 'cherimoya', 'soursop', 'feijoa']"
milk powder (weighted),"['buttermilk', 'cod', 'turkey', 'crab', 'beef', 'shrimp', 'chicken', 'licorice', 'soy sauce', 'pork']"
milk powder (n. moledules),"['butter', 'tea', 'beer', 'mango', 'mushroom', 'tomato', 'chicken', 'guava', 'rum', 'rice']"
milk powder (word emb.),"['hops', 'flaxseed', 'carob', 'milk fat', 'rye', 'goat milk', 'buckwheat', 'licorice', 'peppermint', 'oats']"
mint (weighted),"['summer savory', 'angelica', 'winter savory', 'cumin', 'turmeric', 'lemon grass', 'tarragon', 'black raspberry', 'saffron', 'sage']"
mint (n. moledules),"['spearmint', 'peppermint', 'black pepper', 'ginger', 'rosemary', 'oregano', 'marjoram', 'laurel', 'basil', 'celery']"
mint (word emb.),"['spearmint', 'sorrel', 'olive', 'tamarind', 'chickpea', 'radish', 'avocado', 'mango', 'capers', 'mustard oil']"
mozzarella cheese (weighted),"['munster cheese', 'emmental cheese', 'romano cheese', 'cottage cheese', 'roquefort cheese', 'provolone cheese', 'goat cheese', 'cream cheese', 'comte cheese', 'feta cheese']"
mozzarella cheese (n. moledules),"['swiss cheese', 'parmesan cheese', 'gruyere cheese', 'provolone cheese', 'cream cheese', 'goat cheese', 'munster cheese', 'limburger cheese', 'romano cheese', 'camembert cheese']"
mozzarella cheese (word emb.),"['provolone cheese', 'romano cheese', 'cheese', 'parmesan cheese', 'artichoke', 'feta cheese', 'swiss cheese', 'zucchini', 'macaroni', 'cheddar cheese']"
mung bean (weighted),"['dandelion', 'japanese pumpkin', 'dates', 'chard', 'cashew nut', 'alfalfa', 'watercress', 'horseradish', 'turnip', 'chicory']"
mung bean (n. moledules),"['corn', 'carrot', 'guava', 'green beans', 'potato', 'peach', 'plum', 'pomegranate', 'fig', 'black currant']"
mung bean (word emb.),"['soybean', 'peanut oil', 'jasmine', 'tamarind', 'bonito', 'lotus', 'kelp', 'water chestnut', 'sesame', 'rice']"
munster cheese (weighted),"['mozzarella cheese', 'emmental cheese', 'romano cheese', 'roquefort cheese', 'cream cheese', 'goat cheese', 'comte cheese', 'cottage cheese', 'provolone cheese', 'feta cheese']"
munster cheese (n. moledules),"['cheddar cheese', 'cheese', 'gruyere cheese', 'goat cheese', 'parmesan cheese', 'roquefort cheese', 'swiss cheese', 'cottage cheese', 'feta cheese', 'provolone cheese']"
munster cheese (word emb.),"['wheaten bread', 'limburger cheese', 'bilberry', 'garden cress', 'sapodilla', 'valerian', 'canadian whisky', 'japanese whisky', 'wild cherry', 'pummelo']"
mushroom (weighted),"['rice', 'soybean', 'oats', 'potato', 'bread', 'tomato', 'sesame', 'asparagus', 'buckwheat', 'coconut']"
mushroom (n. moledules),"['tea', 'tomato', 'soybean', 'potato', 'apple', 'guava', 'rice', 'green beans', 'chocolate', 'cocoa']"
mushroom (word emb.),"['oyster', 'leek', 'gruyere cheese', 'parmesan cheese', 'asparagus', 'white pepper', 'kelp', 'potato', 'clam', 'marjoram']"
mustard (weighted),"['chervil', 'alfalfa', 'kohlrabi', 'artichoke', 'pumpkin', 'cassava', 'rye', 'garden cress', 'dates', 'japanese pumpkin']"
mustard (n. moledules),"['tea', 'cabbage', 'guava', 'mango', 'tomato', 'papaya', 'apple', 'soybean', 'asparagus', 'ginger']"
mustard (word emb.),"['endive', 'kohlrabi', 'horseradish', 'beetroot', 'watercress', 'radish', 'chicory', 'caviar', 'chervil', 'sorrel']"
mustard oil (weighted),"['kidney beans', 'lima beans', 'horseradish', 'cauliflower', 'broccoli', 'green beans', 'cabbage', 'beans', 'wasabi', 'mustard']"
mustard oil (n. moledules),"['rocket salad', 'cabbage', 'wasabi', 'horseradish', 'mustard', 'broccoli', 'onion', 'milk', 'canola oil', 'beans']"
mustard oil (word emb.),"['curry leaf', 'asafoetida', 'nigella seed', 'fenugreek', 'cassia', 'paneer', 'tamarind', 'cashew nut', 'basmati rice', 'cumin']"
myrtle (weighted),"['mace', 'eucalyptus', 'citrus zest', 'citrus', 'sassafras', 'lavender', 'bergamot', 'nigella seed', 'caraway', 'asafoetida']"
myrtle (n. moledules),"['ginger', 'black pepper', 'nutmeg', 'rosemary', 'spearmint', 'laurel', 'black currant', 'marjoram', 'tea', 'lovage']"
myrtle (word emb.),"['plum brandy', 'litchi', 'loquat', 'pummelo', 'plumcot', 'satsuma orange', 'feijoa', 'fatty fish', 'cherimoya', 'malt whisky']"
nigella seed (weighted),"['asafoetida', 'curry leaf', 'caraway', 'mace', 'myrtle', 'eucalyptus', 'fir', 'citrus zest', 'gin', 'ricotta cheese']"
nigella seed (n. moledules),"['dill', 'star anise', 'fennel', 'black pepper', 'laurel', 'allspice', 'nutmeg', 'oregano', 'parsley', 'ginger']"
nigella seed (word emb.),"['asafoetida', 'mustard oil', 'fenugreek', 'curry leaf', 'cassia', 'anise', 'paneer', 'cashew nut', 'cardamom', 'tamarind']"
nut (weighted),"['raisin', 'tobacco', 'bitter orange', 'bartlett pear', 'honey', 'citrus', 'geranium', 'brandy', 'cherry brandy', 'parmesan cheese']"
nut (n. moledules),"['parmesan cheese', 'gruyere cheese', 'lovage', 'romano cheese', 'beans', 'tomato', 'plum', 'avocado', 'passionfruit', 'grape']"
nut (word emb.),"['walnut', 'dates', 'fig', 'ricotta cheese', 'currant', 'almond', 'pecan', 'rose', 'apricot', 'vanilla']"
nutmeg (weighted),"['black pepper', 'cinnamon', 'lime', 'lemon', 'coriander', 'fennel', 'laurel', 'dill', 'ginger', 'cumin']"
nutmeg (n. moledules),"['black pepper', 'laurel', 'ginger', 'rosemary', 'marjoram', 'basil', 'cinnamon', 'dill', 'coriander', 'oregano']"
nutmeg (word emb.),"['quince', 'mace', 'currant', 'pecan', 'pumpkin', 'cranberry', 'rhubarb', 'persimmon', 'tobacco', 'dates']"
oats (weighted),"['soybean', 'rice', 'asparagus', 'sweet potato', 'corn', 'sesame', 'spinach', 'wheat', 'dates', 'leek']"
oats (n. moledules),"['tea', 'soybean', 'rice', 'potato', 'mushroom', 'tomato', 'corn', 'green beans', 'cocoa', 'chocolate']"
oats (word emb.),"['carob', 'dates', 'popcorn', 'flaxseed', 'banana', 'licorice', 'vanilla', 'chocolate', 'cocoa', 'milk powder']"
okra (weighted),"['sweet potato', 'mung bean', 'rutabaga', 'watercress', 'chicory', 'japanese pumpkin', 'dates', 'chard', 'dandelion', 'turnip']"
okra (n. moledules),"['soybean', 'peanut', 'peanut butter', 'potato', 'tea', 'rice', 'tomato', 'green beans', 'asparagus', 'chocolate']"
okra (word emb.),"['clam', 'squid', 'saffron', 'tamarind', 'jasmine', 'peas', 'lima beans', 'carrot', 'lemon grass', 'crayfish']"
olive (weighted),"['olive oil', 'wheat', 'lettuce', 'fig', 'cauliflower', 'pear', 'peas', 'cucumber', 'zucchini', 'eggplant']"
olive (n. moledules),"['olive oil', 'apple', 'tea', 'grape', 'peach', 'tomato', 'apricot', 'banana', 'strawberry', 'black currant']"
olive (word emb.),"['romano cheese', 'plum', 'artichoke', 'basil', 'eggplant', 'chickpea', 'parmesan cheese', 'provolone cheese', 'spinach', 'oregano']"
olive oil (weighted),"['olive', 'wheat', 'cauliflower', 'zucchini', 'kohlrabi', 'lettuce', 'brussels sprout', 'eggplant', 'cucumber', 'cashew nut']"
olive oil (n. moledules),"['olive', 'apple', 'tea', 'grape', 'peach', 'tomato', 'strawberry', 'apricot', 'banana', 'black currant']"
olive oil (word emb.),"['artichoke', 'marjoram', 'tarragon', 'tomato', 'parsley', 'plum', 'asparagus', 'dill', 'chervil', 'oregano']"
onion (weighted),"['black raspberry', 'shallot', 'persimmon', 'arrowroot', 'capers', 'borage', 'chive', 'sorrel', 'rutabaga', 'garlic']"
onion (n. moledules),"['peanut butter', 'cocoa', 'peanut', 'chocolate', 'potato', 'tomato', 'soybean', 'chive', 'tea', 'green beans']"
onion (word emb.),"['shallot', 'okra', 'green beans', 'lentils', 'leek', 'lovage', 'marjoram', 'peas', 'kidney beans', 'oregano']"
orange (weighted),"['mandarin orange', 'lemon', 'lime', 'black pepper', 'carrot', 'ginger', 'apricot', 'parsley', 'coriander', 'black currant']"
orange (n. moledules),"['tea', 'mandarin orange', 'lemon', 'apple', 'ginger', 'guava', 'black pepper', 'mango', 'black currant', 'laurel']"
orange (word emb.),"['peach', 'citrus', 'sparkling wine', 'black tea', 'quince', 'green tea', 'pomegranate', 'kumquat', 'black currant', 'melon']"
oregano (weighted),"['basil', 'thyme', 'rosemary', 'marjoram', 'sage', 'fennel', 'cumin', 'black pepper', 'coriander', 'turmeric']"
oregano (n. moledules),"['basil', 'rosemary', 'ginger', 'marjoram', 'laurel', 'spearmint', 'black pepper', 'thyme', 'sage', 'orange']"
oregano (word emb.),"['eggplant', 'kidney beans', 'tomato', 'romano cheese', 'plum', 'beans', 'artichoke', 'olive', 'olive oil', 'parmesan cheese']"
oyster (weighted),"['crayfish', 'buttermilk', 'turkey', 'shrimp', 'butter', 'cod', 'gin', 'egg', 'milk fat', 'sake']"
oyster (n. moledules),"['potato', 'tea', 'tomato', 'beer', 'soybean', 'butter', 'mushroom', 'mango', 'guava', 'peas']"
oyster (word emb.),"['peanut oil', 'bonito', 'sake', 'water chestnut', 'lotus', 'shiitake', 'scallop', 'soybean', 'wine', 'mung bean']"
paneer (weighted),"['wild cherry', 'plum wine', 'port wine', 'rose wine', 'blue cheese', 'milk fat', 'swiss cheese', 'red wine', 'cheddar cheese', 'scotch whisky']"
paneer (n. moledules),"['apple', 'tea', 'soybean', 'rice', 'cocoa', 'black currant', 'cheddar cheese', 'mushroom', 'chocolate', 'butter']"
paneer (word emb.),"['asafoetida', 'curry leaf', 'fenugreek', 'mustard oil', 'basmati rice', 'nigella seed', 'cashew nut', 'cumin', 'chickpea', 'lentils']"
papaya (weighted),"['pineapple', 'prickly pear', 'grape', 'tamarind', 'lemon', 'mango', 'bread', 'loquat', 'lime', 'starfruit']"
papaya (n. moledules),"['tea', 'apple', 'guava', 'grape', 'passionfruit', 'strawberry', 'tomato', 'chocolate', 'cocoa', 'apricot']"
papaya (word emb.),"['guava', 'kiwifruit', 'lime zest', 'mango', 'melon', 'macadamia nut', 'grapefruit', 'lemon grass', 'tamarind', 'tangerine']"
parmesan cheese (weighted),"['romano cheese', 'munster cheese', 'mozzarella cheese', 'goat cheese', 'roquefort cheese', 'cream cheese', 'cottage cheese', 'emmental cheese', 'feta cheese', 'sheep cheese']"
parmesan cheese (n. moledules),"['blue cheese', 'cheddar cheese', 'gruyere cheese', 'romano cheese', 'provolone cheese', 'cottage cheese', 'cream cheese', 'goat cheese', 'swiss cheese', 'mozzarella cheese']"
parmesan cheese (word emb.),"['romano cheese', 'cheese', 'provolone cheese', 'artichoke', 'mozzarella cheese', 'gruyere cheese', 'ricotta cheese', 'goat cheese', 'feta cheese', 'swiss cheese']"
parsley (weighted),"['fennel', 'black pepper', 'parsnip', 'lemon', 'cumin', 'celery', 'coriander', 'dill', 'lime', 'oregano']"
parsley (n. moledules),"['celery', 'black pepper', 'dill', 'laurel', 'orange', 'ginger', 'oregano', 'lemon', 'coriander', 'carrot']"
parsley (word emb.),"['rosemary', 'fennel', 'artichoke', 'marjoram', 'asparagus', 'tarragon', 'olive oil', 'leek', 'chard', 'capers']"
parsnip (weighted),"['fennel', 'dandelion', 'turnip', 'chard', 'parsley', 'dill', 'dates', 'horseradish', 'japanese pumpkin', 'cottonseed']"
parsnip (n. moledules),"['dill', 'carrot', 'parsley', 'coriander', 'black pepper', 'pepper', 'ginger', 'orange', 'fennel', 'oregano']"
parsnip (word emb.),"['rutabaga', 'turnip', 'potato', 'marjoram', 'leek', 'barley', 'lentils', 'brussels sprout', 'kohlrabi', 'sage']"
passionfruit (weighted),"['papaya', 'pineapple', 'guava', 'grape', 'mango', 'apple', 'strawberry', 'peach', 'apricot', 'starfruit']"
passionfruit (n. moledules),"['tea', 'apple', 'guava', 'grape', 'strawberry', 'mango', 'papaya', 'apricot', 'pineapple', 'tomato']"
passionfruit (word emb.),"['kiwifruit', 'cherimoya', 'soursop', 'prickly pear', 'black raspberry', 'guava', 'red raspberry', 'blackberry brandy', 'cherry brandy', 'litchi']"
pawpaw (weighted),"['green tea', 'cream cheese', 'limburger cheese', 'raisin', 'munster cheese', 'roquefort cheese', 'blue cheese', 'emmental cheese', 'rose', 'cottage cheese']"
pawpaw (n. moledules),"['apple', 'pineapple', 'passionfruit', 'white wine', 'parmesan cheese', 'red wine', 'cheddar cheese', 'provolone cheese', 'blue cheese', 'comte cheese']"
pawpaw (word emb.),"['jackfruit', 'kiwifruit', 'passionfruit', 'starfruit', 'cherimoya', 'feijoa', 'soursop', 'prickly pear', 'malt whisky', 'satsuma orange']"
peach (weighted),"['plum', 'pear', 'apricot', 'red currant', 'starfruit', 'fig', 'avocado', 'olive oil', 'gooseberry', 'grape']"
peach (n. moledules),"['tea', 'apple', 'strawberry', 'guava', 'apricot', 'mango', 'tomato', 'grape', 'pineapple', 'plum']"
peach (word emb.),"['blackberry', 'strawberry', 'black raspberry', 'kiwifruit', 'rhubarb', 'blueberry', 'black currant', 'rose wine', 'melon', 'blackberry brandy']"
peanut (weighted),"['peanut butter', 'soybean', 'almond', 'barley', 'pecan', 'walnut', 'brazil nut', 'rice', 'sesame', 'beetroot']"
peanut (n. moledules),"['peanut butter', 'chocolate', 'cocoa', 'tea', 'soybean', 'potato', 'tomato', 'rice', 'green beans', 'apple']"
peanut (word emb.),"['jasmine', 'cashew nut', 'macadamia nut', 'mung bean', 'bonito', 'wasabi', 'lemon grass', 'sake', 'arrowroot', 'soybean']"
peanut butter (weighted),"['peanut', 'soybean', 'pecan', 'almond', 'chocolate', 'rice', 'barley', 'walnut', 'potato', 'sesame']"
peanut butter (n. moledules),"['peanut', 'cocoa', 'chocolate', 'tea', 'soybean', 'potato', 'tomato', 'rice', 'green beans', 'mango']"
peanut butter (word emb.),"['peppermint', 'popcorn', 'durian', 'fish oil', 'fermented tea', 'cottonseed', 'licorice', 'milk fat', 'sapodilla', 'peanut oil']"
peanut oil (weighted),"['wild cherry', 'mate', 'caviar', 'butter', 'beef', 'bourbon whisky', 'lamb', 'canadian whisky', 'malt whisky', 'kidney beans']"
peanut oil (n. moledules),"['butter', 'rice', 'beer', 'guava', 'apple', 'tea', 'cheddar cheese', 'rum', 'tomato', 'banana']"
peanut oil (word emb.),"['mung bean', 'canola oil', 'oyster', 'water chestnut', 'bonito', 'tamarind', 'sake', 'jasmine', 'corn oil', 'soybean']"
pear (weighted),"['avocado', 'pistachio', 'wheat', 'cashew nut', 'hazelnut', 'quince', 'endive', 'olive oil', 'zucchini', 'pomegranate']"
pear (n. moledules),"['apple', 'grape', 'peach', 'strawberry', 'apricot', 'banana', 'tea', 'pineapple', 'guava', 'melon']"
pear (word emb.),"['port wine', 'fig', 'red currant', 'brandy', 'beetroot', 'pomegranate', 'quince', 'dates', 'persimmon', 'cranberry']"
pear brandy (weighted),"['brandy', 'blackberry brandy', 'cherry brandy', 'raspberry brandy', 'apple brandy', 'plum brandy', 'rose wine', 'plum wine', 'japanese whisky', 'canadian whisky']"
pear brandy (n. moledules),"['apple brandy', 'plum brandy', 'raspberry brandy', 'cherry brandy', 'brandy', 'blackberry brandy', 'sherry', 'white wine', 'rum', 'red wine']"
pear brandy (word emb.),"['bartlett pear', 'angelica', 'elderberry', 'prickly pear', 'black currant', 'gooseberry', 'quince', 'apple brandy', 'cherry brandy', 'kumquat']"
peas (weighted),"['olive oil', 'green beans', 'cauliflower', 'wheat', 'beans', 'beetroot', 'zucchini', 'brussels sprout', 'olive', 'broccoli']"
peas (n. moledules),"['tea', 'green beans', 'tomato', 'potato', 'apple', 'beans', 'soybean', 'lima beans', 'grape', 'rice']"
peas (word emb.),"['cabbage', 'broccoli', 'mung bean', 'turnip', 'green beans', 'leek', 'fish', 'chicken', 'okra', 'lentils']"
pecan (weighted),"['walnut', 'soybean', 'oats', 'asparagus', 'rice', 'almond', 'poppy seed', 'brazil nut', 'buckwheat', 'leek']"
pecan (n. moledules),"['tea', 'soybean', 'potato', 'chocolate', 'cocoa', 'tomato', 'rice', 'peanut', 'peanut butter', 'apple']"
pecan (word emb.),"['vanilla', 'dates', 'almond', 'oats', 'banana', 'bartlett pear', 'hazelnut', 'walnut', 'persimmon', 'currant']"
pepper (weighted),"['carrot', 'black pepper', 'parsley', 'fennel', 'lettuce', 'beetroot', 'parsnip', 'zucchini', 'eggplant', 'dill']"
pepper (n. moledules),"['tea', 'orange', 'potato', 'carrot', 'tomato', 'guava', 'papaya', 'black currant', 'laurel', 'chocolate']"
pepper (word emb.),"['black pepper', 'white pepper', 'lentils', 'peas', 'green beans', 'marjoram', 'clam', 'coriander', 'tomato', 'garlic']"
peppermint (weighted),"['carob', 'lemon grass', 'burdock', 'japanese persimmon', 'summer savory', 'tarragon', 'red raspberry', 'sour cherry', 'mint', 'cherry']"
peppermint (n. moledules),"['spearmint', 'tea', 'ginger', 'black pepper', 'laurel', 'orange', 'black currant', 'rosemary', 'celery', 'basil']"
peppermint (word emb.),"['licorice', 'milk fat', 'coffee', 'cocoa', 'sour cherry', 'cherry brandy', 'bergamot', 'soursop', 'green tea', 'malt whisky']"
persimmon (weighted),"['black raspberry', 'borage', 'capers', 'arrowroot', 'sorrel', 'angelica', 'carob', 'shallot', 'water chestnut', 'wasabi']"
persimmon (n. moledules),"['coriander', 'marjoram', 'thyme', 'oregano', 'laurel', 'nutmeg', 'tea', 'ginger', 'lovage', 'spearmint']"
persimmon (word emb.),"['bartlett pear', 'quince', 'gooseberry', 'fig', 'kumquat', 'angelica', 'brazil nut', 'dates', 'sour cherry', 'black currant']"
pineapple (weighted),"['apple', 'grape', 'plum', 'mango', 'pear', 'papaya', 'olive oil', 'avocado', 'red currant', 'fig']"
pineapple (n. moledules),"['apple', 'strawberry', 'guava', 'chocolate', 'grape', 'cocoa', 'tea', 'mango', 'passionfruit', 'papaya']"
pineapple (word emb.),"['starfruit', 'kiwifruit', 'guava', 'rose wine', 'cherry brandy', 'black raspberry', 'prickly pear', 'passionfruit', 'jackfruit', 'blackberry brandy']"
pistachio (weighted),"['hazelnut', 'cashew nut', 'zucchini', 'brussels sprout', 'lentils', 'japanese pumpkin', 'brazil nut', 'chickpea', 'beetroot', 'dates']"
pistachio (n. moledules),"['black currant', 'green beans', 'pepper', 'cucumber', 'broccoli', 'tomato', 'peanut', 'grape', 'peanut butter', 'strawberry']"
pistachio (word emb.),"['brazil nut', 'hazelnut', 'fig', 'currant', 'dates', 'kumquat', 'pomegranate', 'angelica', 'lavender', 'citrus zest']"
plum (weighted),"['avocado', 'pear', 'red currant', 'lettuce', 'gooseberry', 'pomegranate', 'endive', 'olive oil', 'wheat', 'cashew nut']"
plum (n. moledules),"['apple', 'apricot', 'grape', 'strawberry', 'tea', 'mango', 'guava', 'peach', 'tomato', 'pineapple']"
plum (word emb.),"['grape', 'olive', 'capers', 'eggplant', 'artichoke', 'oregano', 'olive oil', 'fennel', 'red wine', 'provolone cheese']"
plum brandy (weighted),"['brandy', 'blackberry brandy', 'cherry brandy', 'raspberry brandy', 'apple brandy', 'pear brandy', 'scotch whisky', 'canadian whisky', 'plum wine', 'rose wine']"
plum brandy (n. moledules),"['apple brandy', 'pear brandy', 'cherry brandy', 'brandy', 'blackberry brandy', 'raspberry brandy', 'white wine', 'apple', 'rum', 'red wine']"
plum brandy (word emb.),"['satsuma orange', 'malt whisky', 'japanese whisky', 'wild cherry', 'litchi', 'canadian whisky', 'elderberry', 'cherimoya', 'soursop', 'white currant']"
plum wine (weighted),"['rose wine', 'champagne', 'port wine', 'strawberry wine', 'red wine', 'sherry', 'sparkling wine', 'white wine', 'wine', 'blue cheese']"
plum wine (n. moledules),"['port wine', 'sparkling wine', 'champagne', 'red wine', 'rose wine', 'white wine', 'sherry', 'strawberry wine', 'wine', 'beer']"
plum wine (word emb.),"['green tea', 'lotus', 'citrus zest', 'kumquat', 'tangerine', 'burdock', 'rose wine', 'melon', 'citrus', 'tea']"
plumcot (weighted),"['lime zest', 'bartlett pear', 'corn oil', 'citrus zest', 'white wine', 'green tea', 'butter', 'apple brandy', 'plum wine', 'peach']"
plumcot (n. moledules),"['tea', 'peach', 'starfruit', 'passionfruit', 'apple', 'mango', 'plum', 'apricot', 'guava', 'papaya']"
plumcot (word emb.),"['pummelo', 'feijoa', 'white currant', 'canadian whisky', 'valerian', 'bilberry', 'sheep cheese', 'japanese whisky', 'malt whisky', 'citronella']"
pomegranate (weighted),"['cashew nut', 'pistachio', 'hazelnut', 'brussels sprout', 'zucchini', 'lentils', 'chickpea', 'mung bean', 'beetroot', 'avocado']"
pomegranate (n. moledules),"['orange', 'tea', 'carrot', 'fig', 'black currant', 'laurel', 'tomato', 'pepper', 'apricot', 'corn']"
pomegranate (word emb.),"['grapefruit', 'tangerine', 'fig', 'endive', 'kumquat', 'citrus', 'lemon balm', 'lavender', 'chamomile', 'pistachio']"
popcorn (weighted),"['rye bread', 'cod', 'wholewheat bread', 'yogurt', 'turkey', 'honey', 'butter', 'egg', 'scallop', 'shrimp']"
popcorn (n. moledules),"['peanut butter', 'peanut', 'coffee', 'soybean', 'tea', 'beer', 'potato', 'oats', 'asparagus', 'cocoa']"
popcorn (word emb.),"['carob', 'oats', 'licorice', 'brazil nut', 'cocoa', 'bourbon whisky', 'japanese pumpkin', 'flaxseed', 'milk powder', 'banana']"
poppy seed (weighted),"['rye', 'cassava', 'dates', 'pumpkin', 'chervil', 'alfalfa', 'dandelion', 'horseradish', 'chard', 'chicory']"
poppy seed (n. moledules),"['guava', 'soybean', 'tea', 'grape', 'potato', 'rice', 'tomato', 'celery', 'cocoa', 'mushroom']"
poppy seed (word emb.),"['sunflower', 'flaxseed', 'mandarin orange', 'blueberry', 'buckwheat', 'red raspberry', 'rye', 'dates', 'nigella seed', 'milk powder']"
pork (weighted),"['beef', 'chicken', 'butter', 'milk', 'turkey', 'beer', 'crab', 'egg', 'cod', 'rum']"
